p_tot,pp_ethylene,temperature,ethylene_coverage
1.0,0.5,373.0,0.022576508394168346
1.0,0.7,373.0,0.031746735119810895
1.0,0.9,373.0,0.040132886155395404
1.0,0.5,423.0,0.004280310515567885
1.0,0.7,423.0,0.005994196528742107
1.0,0.9,423.0,0.007781594465374202
1.0,0.5,473.0,0.0011546721194542976
1.0,0.7,473.0,0.001606973837966614
1.0,0.9,473.0,0.0020717226364153534
1.0,0.5,523.0,0.0003951217691208058
1.0,0.7,523.0,0.0005512230852933886
1.0,0.9,523.0,0.0007151454994866359
3.0,1.5,373.0,0.06551194800402468
3.0,2.0999999999999996,373.0,0.08885143831364002
3.0,2.7,373.0,0.11066345050550001
3.0,1.5,423.0,0.012881604172162513
3.0,2.0999999999999996,423.0,0.017863568616990146
3.0,2.7,423.0,0.022797717876741994
3.0,1.5,473.0,0.003491521104343167
3.0,2.0999999999999996,473.0,0.004810662365637883
3.0,2.7,473.0,0.006165549874882294
3.0,1.5,523.0,0.0011892521518224676
3.0,2.0999999999999996,523.0,0.0016561812813944924
3.0,2.7,523.0,0.002159812425789867
5.0,2.5,373.0,0.10354837075084485
5.0,3.5,373.0,0.1392069868238591
5.0,4.5,373.0,0.17455882423780866
5.0,2.5,423.0,0.02134173920344628
5.0,3.5,423.0,0.029679930812202555
5.0,4.5,423.0,0.037400469950479784
5.0,2.5,473.0,0.00578989336529144
5.0,3.5,473.0,0.007955155359176035
5.0,4.5,473.0,0.010296150413970825
5.0,2.5,523.0,0.001968840618587729
5.0,3.5,523.0,0.0027859717513187463
5.0,4.5,523.0,0.003541697780038944
