w_cat,T,p_tot,F_in_Ar,F_in_N2,F_in_H2,F_in_NH3,F_out_Ar,F_out_N2,F_out_H2,F_out_NH3
5.0,750.0,20.0,2.4975,0.00175,0.0007499999999999999,0.0,2.4635406161986326,0.0016864177670713894,0.0005657187641549355,0.0001231266961936808
5.0,750.0,20.0,2.4975,0.0014999999999999998,0.001,0.0,2.4558895512508396,0.001440193981273251,0.000831383587067234,0.00010384896108016043
5.0,750.0,20.0,2.4975,0.00125,0.00125,0.0,2.5007778120005146,0.001183039242860992,0.001139970673129639,8.639726827704689e-05
5.0,800.0,20.0,2.4975,0.00175,0.0007499999999999999,0.0,2.4586033385057178,0.0015246901793326815,3.8530444876354483e-05,0.00046545696700180865
5.0,800.0,20.0,2.4975,0.0014999999999999998,0.001,0.0,2.4646208263058105,0.0012932332389795481,0.0003943711245913058,0.00040192475359620243
5.0,800.0,20.0,2.4975,0.00125,0.00125,0.0,2.5345555932078616,0.0010786861548433989,0.0007421962587458618,0.0003362661645002788
