w_cat,T,p_tot,F_in_Ar,F_in_N2,F_in_H2,F_in_NH3,F_out_Ar,F_out_N2,F_out_H2,F_out_NH3
1.5,650.0,300.0,0.0,0.0001,0.0009000000000000001,0.0,0.0,9.541348013989039e-05,0.0008848348639470966,9.974646363309862e-06
1.5,650.0,300.0,5e-05,0.0001,0.00085,0.0,5.011259309238724e-05,9.469973765608584e-05,0.0008490709803233529,1.019589806684799e-05
1.5,650.0,300.0,0.0001,0.0001,0.0008,0.0,9.887781650377575e-05,9.445757788934987e-05,0.0007865244136703309,1.0914508494694213e-05
1.5,650.0,300.0,0.00015,0.0001,0.00075,0.0,0.00015288825186196488,9.510151060896032e-05,0.0007195204494085679,1.1714562502250435e-05
1.5,650.0,300.0,0.0002,0.0001,0.0007,0.0,0.0001984929969618659,9.281518067274429e-05,0.0006795142456309293,1.2572072003181111e-05
